Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
104,00:00:03.433,1.3589043209876543,2.575578703703704,1.2672685185185186,0.355462962962963,2.4539814814814815
105,00:00:03.467,0.41416666666666674,1.3025462962962964,0.5393904320987655,0.18044753086419754,0.5226620370370371
106,00:00:03.500,1.6565226337448558,2.1033564814814816,1.561844135802469,0.6948302469135802,2.7128935185185186
107,00:00:03.533,1.321795267489712,4.255902777777778,1.4849228395061729,0.6158487654320988,1.864614197530864
108,00:00:03.567,5.279909979423868,14.12337962962963,4.940300925925926,1.7791435185185185,9.120285493827161
109,00:00:03.600,6.550450102880659,14.587731481481482,7.682337962962963,1.2541666666666667,10.714845679012345
110,00:00:03.633,0.6809593621399177,2.6680555555555556,0.6554861111111111,0.2807253086419753,1.1066666666666667
111,00:00:03.667,0.5370164609053498,2.0502314814814815,0.5927237654320988,0.23039351851851853,0.7879320987654321
112,00:00:03.700,1.904670781893004,7.815277777777778,1.807037037037037,0.8855864197530864,3.0213888888888887
113,00:00:03.733,1.7649665637860081,4.578587962962963,1.7775462962962962,0.8535416666666666,2.6638117283950615
114,00:00:03.767,5.46113425925926,12.956597222222221,5.4595061728395065,1.8990586419753086,9.024837962962962
115,00:00:03.800,1.3281635802469136,3.256365740740741,1.4055246913580246,0.5532175925925926,2.0257484567901236
116,00:00:03.833,1.076556069958848,2.4221064814814817,1.986388888888889,0.33070216049382717,0.9125771604938272
117,00:00:03.867,5.570102880658436,12.94675925925926,5.982160493827161,1.7076543209876542,9.020493827160493
118,00:00:03.900,2.356327160493827,5.151157407407408,4.327515432098766,0.7661496913580247,1.9753163580246913
119,00:00:03.933,8.072767489711934,11.94525462962963,15.311597222222222,1.5819135802469135,7.324791666666667
120,00:00:03.967,6.799241255144033,10.259027777777778,11.991651234567902,1.4001697530864197,7.005902777777778
121,00:00:04.000,20.727623456790123,11.707175925925926,45.74224537037037,1.455756172839506,14.984868827160494
